Site,County,Plot,Type,Treatment,Infection,Year,Species
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,PEMA
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,PEMA
San Pedro,Marin,SPA,Permethrin,Acaricide,1,2024,NEFU
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,PEMA
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,NEFU
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,PEMA
San Pedro,Marin,SPA,Permethrin,Acaricide,1,2024,NEFU
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,PEMA
San Pedro,Marin,SPA,Permethrin,Acaricide,1,2024,NEFU
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,NEFU
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,PEMA
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,PEMA
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,NEFU
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,PEMA
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,PEMA
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,PEMA
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,PEMA
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,PEMA
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,PETR
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,PETR
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,NEFU
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,PETR
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,PETR
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,NEFU
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,NEFU
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,PEMA
San Pedro,Marin,SPA,Permethrin,Acaricide,0,2024,PEMA
San Pedro,Marin,SPC,Control,Control,1,2024,NEFU
San Pedro,Marin,SPC,Control,Control,0,2024,NEFU
San Pedro,Marin,SPC,Control,Control,1,2024,PEMA
San Pedro,Marin,SPC,Control,Control,0,2024,NEFU
San Pedro,Marin,SPC,Control,Control,1,2024,NEFU
San Pedro,Marin,SPC,Control,Control,0,2024,NEFU
San Pedro,Marin,SPC,Control,Control,0,2024,PETR
San Pedro,Marin,SPC,Control,Control,0,2024,PETR
San Pedro,Marin,SPC,Control,Control,0,2024,PEMA
San Pedro,Marin,SPC,Control,Control,0,2024,PETR
San Pedro,Marin,SPC,Control,Control,0,2024,PETR
San Pedro,Marin,SPC,Control,Control,0,2024,PETR
San Pedro,Marin,SPC,Control,Control,0,2024,PEMA
San Pedro,Marin,SPC,Control,Control,0,2024,PETR
San Pedro,Marin,SPC,Control,Control,0,2024,PEMA
San Pedro,Marin,SPC,Control,Control,0,2024,PETR
San Pedro,Marin,SPC,Control,Control,0,2024,PETR
San Pedro,Marin,SPC,Control,Control,1,2024,NEFU
San Pedro,Marin,SPC,Control,Control,0,2024,PETR
San Pedro,Marin,SPC,Control,Control,0,2024,NEFU
San Pedro,Marin,SPC,Control,Control,1,2024,NEFU
San Pedro,Marin,SPC,Control,Control,0,2024,NEFU
San Pedro,Marin,SPC,Control,Control,0,2024,NEFU
San Pedro,Marin,SPC,Control,Control,0,2024,PEMA
San Pedro,Marin,SPC,Control,Control,0,2024,PETR
San Pedro,Marin,SPC,Control,Control,0,2024,PEMA
San Pedro,Marin,SPC,Control,Control,0,2024,PEMA
San Pedro,Marin,SPC,Control,Control,0,2024,PEMA
San Pedro,Marin,SPC,Control,Control,0,2024,PETR
San Pedro,Marin,SPC,Control,Control,0,2024,PEMA
San Pedro,Marin,SPC,Control,Control,0,2024,PEMA
San Pedro,Marin,SPC,Control,Control,0,2024,NEFU
San Pedro,Marin,SPC,Control,Control,0,2024,NEFU
San Pedro,Marin,SPC,Control,Control,0,2024,PEMA
San Pedro,Marin,SPC,Control,Control,0,2024,PEMA
San Pedro,Marin,SPC,Control,Control,1,2024,NEFU
